,code,date,open,high,low,close,volume
0,001979,2015-12-30,23.47,23.47,20.121,22.763,5148812.0
1,001979,2015-12-31,21.329,21.938,20.485,20.485,2801829.0
2,001979,2016-01-04,19.836,20.789,18.658,19.267,1533407.0
3,001979,2016-01-05,19.002,19.974,18.246,19.149,1624083.0
4,001979,2016-01-06,19.012,19.247,18.471,19.159,1244261.0
5,001979,2016-01-07,18.913,18.913,17.254,17.313,316123.0
6,001979,2016-01-08,17.755,17.951,15.918,16.724,1536062.0
7,001979,2016-01-11,16.174,16.203,15.054,15.054,1518530.0
8,001979,2016-01-12,14.995,16.498,14.809,15.889,1405773.0
9,001979,2016-01-13,15.81,16.812,15.496,15.908,1160567.0
10,001979,2016-01-14,15.319,17.175,15.231,17.175,1471695.0
11,001979,2016-01-15,16.802,17.106,16.115,16.301,970282.0
12,001979,2016-01-18,16.154,16.753,16.075,16.409,757322.0
13,001979,2016-01-19,16.625,17.038,16.203,16.871,912712.0
14,001979,2016-01-20,16.694,16.832,15.908,16.105,866212.0
15,001979,2016-01-21,15.84,16.35,15.516,15.535,684784.0
16,001979,2016-01-22,15.82,15.889,15.3,15.624,468611.0
17,001979,2016-01-25,15.8,15.899,15.545,15.683,362214.0
18,001979,2016-01-26,15.516,15.545,14.111,14.121,652801.0
19,001979,2016-01-27,14.229,14.327,13.139,13.964,726844.0
20,001979,2016-01-28,13.728,14.308,13.552,13.552,518813.0
21,001979,2016-01-29,13.669,14.298,13.591,14.16,557289.0
22,001979,2016-02-01,14.18,14.19,13.62,13.846,349315.0
23,001979,2016-02-02,13.944,15.221,13.886,14.76,679399.0
24,001979,2016-02-03,14.73,15.339,14.455,14.995,720891.0
25,001979,2016-02-04,14.995,15.26,14.828,15.005,464941.0
26,001979,2016-02-05,15.034,15.152,14.671,14.681,346812.0
27,001979,2016-02-15,14.052,14.583,14.052,14.377,358956.0
28,001979,2016-02-16,14.475,15.28,14.445,14.917,498782.0
29,001979,2016-02-17,14.877,15.3,14.828,15.142,437895.0
30,001979,2016-02-18,15.221,15.692,15.034,15.074,511054.0
31,001979,2016-02-19,15.113,15.192,14.622,14.799,512914.0
32,001979,2016-02-22,15.172,15.329,14.956,15.123,678282.0
33,001979,2016-02-23,15.201,15.339,14.868,15.064,477176.0
34,001979,2016-02-24,15.074,15.162,14.602,14.936,435047.0
35,001979,2016-02-25,14.926,14.926,13.444,13.522,693791.0
36,001979,2016-02-26,13.669,13.994,13.473,13.748,439395.0
37,001979,2016-02-29,13.925,14.229,13.365,13.679,823238.0
38,001979,2016-03-01,13.836,15.044,13.709,14.72,1283504.0
39,001979,2016-03-02,14.602,16.193,14.602,16.193,1777449.0
40,001979,2016-03-03,16.399,16.89,15.859,16.036,1733171.0
41,001979,2016-03-04,15.712,17.529,15.643,16.124,1932652.0
42,001979,2016-03-07,16.39,16.763,15.889,16.282,921841.0
43,001979,2016-03-08,16.124,16.124,15.093,15.742,861285.0
44,001979,2016-03-09,15.211,15.457,15.074,15.133,524857.0
45,001979,2016-03-10,15.192,15.3,14.288,14.406,693164.0
46,001979,2016-03-11,14.151,14.386,13.944,14.19,452398.0
47,001979,2016-03-14,14.327,14.838,14.327,14.642,576267.0
48,001979,2016-03-15,14.553,14.622,14.2,14.406,400704.0
49,001979,2016-03-16,14.445,14.671,14.229,14.298,325316.0
50,001979,2016-03-17,14.455,14.985,14.288,14.858,677221.0
51,001979,2016-03-18,14.838,15.918,14.838,15.594,1005020.0
52,001979,2016-03-21,15.771,15.879,15.427,15.761,708916.0
