,Unnamed: 0,code,date,open,high,low,close,volume,amplitude,percent,MA3,EMA5,EMA10,EMA14,EMA20,EMA30,EMA22,EMA250,EMA888,DIFF,DEA,abspercent,EMA15PER,EMA5LOW,EMA10LOW,EMA15LOW,EMA20LOW,low9,high9,quick_k,quick_d,slow_d,lowopendiff,lowdiffmacd,lowclosediff,lowdiffmacd2,maxclosediff,absclosediff,fmrsi,fzrsi,rsi5,highlowdiff,highlowdiffema5,bollstd,jd,ejd,newdiverse10
0,0,600197,2005-01-04,2.85,2.858,2.779,2.795,2701.0,,,,2.795,2.795,2.795,2.795,2.795,2.795,2.795,2.795,0.0,,,,2.779,2.779,2.779,2.779,,,0.0,,,2.80290934894,2.803,0.016,0.016,0.0,,0.0,,,0.079,0.079,,,,0.0
1,1,600197,2005-01-05,2.795,2.858,2.795,2.834,2278.0,0.039,0.014,,2.818,2.816,2.816,2.815,2.815,2.815,2.815,2.815,0.001,,1.4,1.4,2.789,2.788,2.788,2.787,,,0.0,,,2.22890500619,2.484,0.039,0.028,0.039,0.039,0.023,0.039,58.97,0.063,0.069,,88.842,88.842,0.0064
2,2,600197,2005-01-06,2.834,2.834,2.787,2.795,1486.99,-0.039,-0.0138,2.808,2.807,2.808,2.808,2.808,2.808,2.808,2.808,2.808,0.0,,-1.38,-0.083,2.788,2.787,2.787,2.787,,,0.0,0.0,,1.67230030244,2.151,0.008,0.021,0.0,0.039,0.012,0.039,30.77,0.047,0.059,,-57.99261,-9.04774,-0.0046
3,3,600197,2005-01-07,2.803,2.842,2.795,2.803,2006.5,0.008,0.0029,2.811,2.806,2.806,2.806,2.807,2.807,2.807,2.807,2.807,-0.001,,0.29,0.058,2.791,2.79,2.79,2.789,,,0.0,0.0,,1.6675536633,1.987,0.008,0.017,0.008,0.008,0.011,0.024,45.83,0.047,0.054,,16.052,5.29496857143,-0.0011
4,4,600197,2005-01-10,2.803,2.834,2.795,2.834,1278.0,0.031,0.0111,2.811,2.816,2.814,2.814,2.813,2.813,2.813,2.812,2.812,0.001,,1.11,0.376,2.792,2.791,2.791,2.791,,,0.0,0.0,0.0,1.3856812933,1.808,0.039,0.023,0.031,0.031,0.018,0.027,66.67,0.039,0.048,,39.618,23.6005853333,0.0071
5,5,600197,2005-01-11,2.85,2.889,2.834,2.882,3508.3,0.048,0.0169,2.84,2.84,2.832,2.829,2.828,2.826,2.827,2.824,2.824,0.005,,1.69,0.713,2.808,2.802,2.801,2.8,,,0.0,0.0,0.0,1.92206884501,1.839,0.048,0.028,0.048,0.048,0.029,0.035,82.86,0.055,0.051,,168.3984,98.3349412903,0.0177
6,6,600197,2005-01-12,2.874,2.874,2.834,2.866,1415.06,-0.016,-0.0056,2.861,2.849,2.84,2.837,2.835,2.833,2.834,2.83,2.83,0.006,0.002,-0.56,0.425,2.817,2.81,2.808,2.806,,,0.0,0.0,0.0,1.40154169587,1.728,0.032,0.029,0.0,0.016,0.019,0.028,67.86,0.04,0.047,,-22.64096,36.8868644444,0.0092
7,7,600197,2005-01-13,2.874,2.874,2.834,2.866,1728.0,0.0,0.0,2.871,2.855,2.846,2.843,2.84,2.838,2.84,2.835,2.835,0.006,0.003,0.0,0.337,2.823,2.816,2.813,2.811,,,0.0,0.0,0.0,1.40154169587,1.65,0.032,0.03,0.0,-0.0,0.012,0.018,66.67,0.04,0.045,,0.0,18.2982083465,0.007
8,8,600197,2005-01-14,2.866,2.882,2.803,2.811,2520.0,-0.055,-0.0192,2.848,2.84,2.838,2.837,2.836,2.834,2.835,2.832,2.832,0.003,0.003,-1.92,-0.093,2.816,2.813,2.811,2.81,2.795,2.882,18.39,6.13,2.04,2.77924362357,1.911,0.008,0.026,0.0,0.055,0.008,0.031,25.81,0.079,0.056,,-138.6,-60.4585393725,-0.0095
9,9,600197,2005-01-17,2.756,2.795,2.693,2.7,4225.0,-0.111,-0.0395,2.792,2.793,2.809,2.813,2.815,2.817,2.816,2.818,2.819,-0.007,0.002,-3.95,-0.782,2.774,2.788,2.791,2.792,2.7,2.882,0.0,6.13,4.09,3.71720116618,2.316,0.007,0.022,0.0,0.111,0.005,0.058,8.62,0.102,0.072,,-468.975,-265.11649225,-0.0388
10,10,600197,2005-01-18,2.716,2.748,2.7,2.748,2506.81,0.048,0.0178,2.753,2.778,2.797,2.802,2.806,2.808,2.806,2.812,2.812,-0.009,0.001,1.78,-0.348,2.749,2.77,2.776,2.779,2.7,2.882,26.37,14.92,9.06,1.76211453744,2.194,0.048,0.027,0.048,0.048,0.02,0.055,36.36,0.048,0.064,,120.32688,-72.2064173803,-0.0175
11,11,600197,2005-01-19,2.7,2.748,2.7,2.748,2022.0,0.0,0.0,2.732,2.768,2.787,2.793,2.798,2.801,2.799,2.806,2.807,-0.012,-0.001,0.0,-0.291,2.733,2.756,2.764,2.768,2.7,2.882,26.37,17.58,12.88,1.76211453744,2.102,0.048,0.03,0.0,-0.0,0.013,0.036,36.11,0.048,0.058,,0.0,-36.0855715584,-0.014
12,12,600197,2005-01-20,2.732,2.748,2.7,2.724,2598.72,-0.024,-0.0087,2.74,2.753,2.775,2.782,2.788,2.792,2.789,2.8,2.8,-0.014,-0.004,-0.87,-0.382,2.722,2.745,2.754,2.759,2.7,2.882,13.19,21.98,18.16,1.76211453744,2.03,0.024,0.029,0.0,0.024,0.009,0.032,28.12,0.048,0.055,,-62.36928,-49.2306350232,-0.0184
13,13,600197,2005-01-21,2.7,2.882,2.685,2.874,8797.35,0.15,0.0551,2.782,2.793,2.794,2.796,2.799,2.801,2.8,2.805,2.806,-0.006,-0.006,5.51,0.512,2.709,2.733,2.744,2.75,2.7,2.882,95.6,45.05,28.2,7.07742051374,3.086,0.189,0.054,0.15,0.15,0.056,0.072,77.78,0.197,0.102,0.058,1319.6025,635.269489633,0.0286
14,14,600197,2005-01-24,3.055,3.118,2.976,2.992,44959.1,0.118,0.0411,2.863,2.86,2.832,2.826,2.823,2.821,2.822,2.818,2.818,0.01,-0.005,4.11,1.044,2.799,2.78,2.778,2.778,2.7,2.992,100.0,69.6,45.54,4.66032162783,3.412,0.016,0.048,0.118,0.118,0.077,0.087,88.51,0.142,0.116,0.076,5305.1738,2970.36416768,0.0565
15,15,600197,2005-01-25,2.992,2.992,2.905,2.929,8119.16,-0.063,-0.0211,2.932,2.883,2.85,2.841,2.835,2.831,2.834,2.826,2.825,0.016,-0.003,-2.11,0.588,2.834,2.803,2.796,2.793,2.7,2.992,78.42,91.34,68.66,2.95065287434,3.317,0.024,0.045,0.0,0.063,0.051,0.079,64.56,0.087,0.106,0.082,-511.50708,1229.37541308,0.0277
16,16,600197,2005-01-26,2.929,2.952,2.858,2.882,7172.0,-0.047,-0.016,2.934,2.883,2.856,2.847,2.841,2.836,2.839,2.829,2.829,0.017,0.0,-1.6,0.278,2.842,2.814,2.804,2.8,2.7,2.992,62.33,80.25,80.4,3.23580034423,3.301,0.024,0.042,0.0,0.047,0.034,0.068,50.0,0.094,0.102,0.083,-337.084,446.133755222,0.0091
17,17,600197,2005-01-27,2.874,2.874,2.811,2.819,5411.29,-0.063,-0.0219,2.877,2.861,2.849,2.843,2.838,2.835,2.837,2.829,2.828,0.012,0.003,-2.19,-0.066,2.832,2.813,2.805,2.802,2.7,2.992,40.75,60.5,77.36,2.21635883905,3.08,0.008,0.037,0.0,0.063,0.023,0.067,34.33,0.063,0.089,0.082,-340.91127,52.6082402495,-0.0105
18,18,600197,2005-01-28,2.771,2.811,2.763,2.779,4140.0,-0.04,-0.0142,2.827,2.834,2.836,2.834,2.832,2.83,2.831,2.826,2.825,0.005,0.006,-1.42,-0.252,2.809,2.804,2.8,2.797,2.724,2.992,20.52,41.2,60.65,1.72228202368,2.804,0.016,0.034,0.0,0.04,0.015,0.058,25.86,0.048,0.075,0.084,-165.6,-56.496296076,-0.0201
19,19,600197,2005-01-31,2.811,2.897,2.763,2.763,8846.71,-0.016,-0.0058,2.787,2.81,2.823,2.824,2.824,2.824,2.824,2.822,2.822,-0.001,0.008,-0.58,-0.297,2.794,2.796,2.795,2.794,2.724,2.992,14.55,25.27,42.32,4.73498233216,3.195,0.0,0.029,0.0,0.016,0.01,0.044,22.73,0.134,0.095,0.084,-141.54736,-99.0219091492,-0.0213
20,20,600197,2005-02-01,2.732,2.803,2.716,2.756,5963.0,-0.007,-0.0025,2.766,2.792,2.81,2.814,2.817,2.818,2.817,2.819,2.819,-0.007,0.007,-0.25,-0.29,2.768,2.781,2.784,2.785,2.724,2.992,11.94,15.67,27.38,3.15274506251,3.186,0.04,0.031,0.0,0.007,0.007,0.032,21.88,0.087,0.092,0.085,-41.741,-70.3814272609,-0.0192
21,21,600197,2005-02-02,2.756,2.968,2.756,2.96,12893.0,0.204,0.074,2.826,2.848,2.838,2.835,2.832,2.83,2.831,2.826,2.826,0.007,0.007,7.4,0.733,2.764,2.777,2.78,2.782,2.756,2.992,86.44,37.64,26.19,7.40740740741,4.037,0.204,0.055,0.204,0.204,0.072,0.089,80.9,0.212,0.132,0.092,2630.172,1279.89593023,0.043
22,22,600197,2005-02-03,2.929,2.968,2.842,2.866,11951.8,-0.094,-0.0318,2.861,2.854,2.843,2.839,2.836,2.833,2.835,2.828,2.827,0.008,0.006,-3.18,0.216,2.79,2.789,2.789,2.788,2.756,2.992,46.61,48.33,33.88,4.33734939759,4.097,0.024,0.05,0.0,0.094,0.048,0.091,52.75,0.126,0.13,0.093,-1123.4692,78.2130786125,0.0081
23,23,600197,2005-02-04,2.858,2.945,2.858,2.889,7113.41,0.023,0.008,2.905,2.866,2.851,2.846,2.841,2.837,2.84,2.831,2.83,0.011,0.005,0.8,0.293,2.813,2.801,2.798,2.796,2.756,2.96,65.2,66.08,50.68,2.99844907806,3.877,0.031,0.048,0.023,0.023,0.04,0.068,58.82,0.087,0.116,0.087,163.60843,120.910759396,0.0133
24,24,600197,2005-02-16,2.96,3.055,2.874,2.889,4301.0,0.0,0.0,2.881,2.873,2.858,2.852,2.846,2.841,2.845,2.833,2.832,0.013,0.005,0.0,0.255,2.833,2.815,2.807,2.804,2.756,2.96,65.2,59.0,57.8,6.10558272896,4.324,0.015,0.043,0.0,-0.0,0.027,0.045,60.0,0.181,0.137,0.084,0.0,60.4553760947,0.0108
25,25,600197,2005-02-17,2.897,3.015,2.858,2.992,14654.48,0.103,0.0357,2.923,2.913,2.883,2.871,2.861,2.853,2.859,2.84,2.839,0.024,0.008,3.57,0.684,2.841,2.823,2.814,2.809,2.756,2.992,100.0,76.8,67.29,5.34650093649,4.529,0.134,0.056,0.103,0.103,0.052,0.065,80.0,0.157,0.144,0.087,1509.41144,784.933429638,0.0378
26,26,600197,2005-02-18,2.976,3.015,2.952,2.984,11849.0,-0.008,-0.0027,2.955,2.937,2.901,2.886,2.874,2.863,2.871,2.846,2.844,0.03,0.012,-0.27,0.561,2.878,2.846,2.832,2.824,2.756,2.992,96.61,87.27,74.36,2.11161387632,4.044,0.032,0.052,0.0,0.008,0.035,0.046,76.09,0.063,0.117,0.082,-94.792,345.070708265,0.0286
27,27,600197,2005-02-21,2.984,3.023,2.96,3.007,6085.62,0.023,0.0077,2.994,2.96,2.921,2.903,2.887,2.874,2.884,2.852,2.85,0.037,0.019,0.77,0.588,2.905,2.867,2.848,2.838,2.756,3.007,100.0,98.87,87.65,2.10596690623,3.656,0.047,0.052,0.023,0.023,0.031,0.038,81.58,0.063,0.099,0.088,139.96926,242.519983368,0.0294
28,28,600197,2005-02-22,2.992,3.086,2.992,3.07,19535.82,0.063,0.021,3.02,2.997,2.948,2.925,2.906,2.889,2.901,2.861,2.858,0.047,0.024,2.1,0.782,2.934,2.89,2.867,2.853,2.756,3.07,100.0,98.87,95.0,3.09312273774,3.543,0.078,0.055,0.063,0.063,0.042,0.046,91.3,0.094,0.097,0.097,1230.75666,736.638323525,0.0414
29,29,600197,2005-02-23,3.07,3.07,2.992,3.023,11626.11,-0.047,-0.0153,3.033,3.005,2.962,2.939,2.917,2.899,2.913,2.867,2.864,0.049,0.03,-1.53,0.487,2.954,2.908,2.883,2.867,2.866,3.07,76.96,92.32,96.69,2.57340811613,3.349,0.031,0.052,0.0,0.047,0.028,0.047,59.57,0.078,0.091,0.102,-546.42717,95.1055755675,0.0206
