,date,ON,1W,2W,1M,3M,6M,9M,1Y
71,2017-04-18,2.486,2.7175,3.188,3.9978,4.2621,4.3145,4.1999,4.2023
70,2017-04-17,2.444,2.69,3.1735,3.9972,4.2609,4.3148,4.1989,4.2022
69,2017-04-14,2.429,2.674,3.1617,3.9972,4.2634,4.3177,4.1989,4.2013
68,2017-04-13,2.413,2.6566,3.1553,4.0016,4.2631,4.3166,4.1987,4.2022
67,2017-04-12,2.3885,2.6631,3.1637,4.0132,4.2653,4.316,4.1968,4.2011
66,2017-04-11,2.408,2.687,3.1897,4.0382,4.2774,4.322,4.1975,4.201
65,2017-04-10,2.442,2.707,3.2203,4.0746,4.2906,4.332,4.1977,4.201
64,2017-04-07,2.4957,2.741,3.249,4.118,4.301,4.339,4.197,4.2
63,2017-04-06,2.537,2.7506,3.2754,4.1783,4.3183,4.345,4.197,4.2
62,2017-04-05,2.4868,2.74,3.3053,4.2525,4.3355,4.347,4.197,4.2
